time_index,incidence,region,category,classification,mom_variation,nature
2024-02-01,0.0292,Pampeana,División,Restaurantes y hoteles,,Servicios
2024-02-01,0.0347,Pampeana,División,Salud,,Servicios
2024-02-01,0.048,Pampeana,División,Transporte,,Servicios
2024-02-01,0.0165,Pampeana,División,Vivienda y servicios básicos,,Servicios
2024-02-01,0.119,Pampeana,Nivel General,Total,11.8893,
2024-02-01,0.0098999999999999,Patagonia,Análisis,Estacionales,8.1521,
2024-02-01,0.0819999999999999,Patagonia,Análisis,Núcleo,11.4727,
2024-02-01,0.0212,Patagonia,Análisis,Regulados,12.9363,
2024-02-01,0.0306999999999999,Patagonia,División,Alimentos y bebidas,,Bienes
2024-02-01,0.0051,Patagonia,División,Bebidas alcohólicas y tabaco,,Bienes
2024-02-01,0.0074,Patagonia,División,Bienes y servicios varios,,Mixto
2024-02-01,0.0045,Patagonia,División,Comunicación,,Servicios
2024-02-01,0.0006,Patagonia,División,Educación,,Servicios
2024-02-01,0.008,Patagonia,División,Equipamiento del hogar,,Bienes
2024-02-01,0.0106,Patagonia,División,Prendas de vestir y calzado,,Bienes
2024-02-01,0.0060999999999999,Patagonia,División,Recreación y cultura,,Mixto
2024-02-01,0.0055,Patagonia,División,Restaurantes y hoteles,,Servicios
2024-02-01,0.0069999999999999,Patagonia,División,Salud,,Servicios
2024-02-01,0.0185,Patagonia,División,Transporte,,Servicios
2024-02-01,0.0092,Patagonia,División,Vivienda y servicios básicos,,Servicios
2024-02-01,0.113,Patagonia,Nivel General,Total,11.3102,
2024-03-01,0.01,Cuyo,Análisis,Estacionales,9.581,
2024-03-01,0.0633,Cuyo,Análisis,Núcleo,8.7571,
2024-03-01,0.0197999999999999,Cuyo,Análisis,Regulados,11.4469,
2024-03-01,0.0336,Cuyo,División,Alimentos y bebidas,,Bienes
2024-03-01,0.0038,Cuyo,División,Bebidas alcohólicas y tabaco,,Bienes
2024-03-01,0.0034999999999999,Cuyo,División,Bienes y servicios varios,,Mixto
2024-03-01,0.0027,Cuyo,División,Comunicación,,Servicios
2024-03-01,0.0037,Cuyo,División,Educación,,Servicios
2024-03-01,0.0034,Cuyo,División,Equipamiento del hogar,,Bienes
2024-03-01,0.0053,Cuyo,División,Prendas de vestir y calzado,,Bienes
2024-03-01,0.0043,Cuyo,División,Recreación y cultura,,Mixto
2024-03-01,0.0056999999999999,Cuyo,División,Restaurantes y hoteles,,Servicios
2024-03-01,0.0106,Cuyo,División,Salud,,Servicios
2024-03-01,0.0126,Cuyo,División,Transporte,,Servicios
2024-03-01,0.0039,Cuyo,División,Vivienda y servicios básicos,,Servicios
2024-03-01,0.093,Cuyo,Nivel General,Total,9.3075,
2024-03-01,0.0138,GBA,Análisis,Estacionales,12.2666,
2024-03-01,0.0688,GBA,Análisis,Núcleo,9.6841,
2024-03-01,0.0322,GBA,Análisis,Regulados,18.2078,
2024-03-01,0.1446,GBA,División,Alimentos y bebidas,,Bienes
2024-03-01,0.015,GBA,División,Bebidas alcohólicas y tabaco,,Bienes
2024-03-01,0.0249,GBA,División,Bienes y servicios varios,,Mixto
2024-03-01,0.0158,GBA,División,Comunicación,,Servicios
2024-03-01,0.0154,GBA,División,Educación,,Servicios
2024-03-01,0.0275,GBA,División,Equipamiento del hogar,,Bienes
2024-03-01,0.0317,GBA,División,Prendas de vestir y calzado,,Bienes
2024-03-01,0.0342,GBA,División,Recreación y cultura,,Mixto
2024-03-01,0.0489,GBA,División,Restaurantes y hoteles,,Servicios
2024-03-01,0.0533,GBA,División,Salud,,Servicios
2024-03-01,0.0866,GBA,División,Transporte,,Servicios
2024-03-01,0.0344,GBA,División,Vivienda y servicios básicos,,Servicios
2024-03-01,0.115,GBA,Nivel General,Total,11.4822,
2024-03-01,0.008,NEA,Análisis,Estacionales,6.7613,
2024-03-01,0.0603,NEA,Análisis,Núcleo,8.1898,
2024-03-01,0.0351,NEA,Análisis,Regulados,24.1906,
2024-03-01,0.1592,NEA,División,Alimentos y bebidas,,Bienes
2024-03-01,0.0152,NEA,División,Bebidas alcohólicas y tabaco,,Bienes
2024-03-01,0.0227999999999999,NEA,División,Bienes y servicios varios,,Mixto
2024-03-01,0.0144,NEA,División,Comunicación,,Servicios
2024-03-01,0.0040999999999999,NEA,División,Educación,,Servicios
2024-03-01,0.0301,NEA,División,Equipamiento del hogar,,Bienes
2024-03-01,0.0305,NEA,División,Prendas de vestir y calzado,,Bienes
2024-03-01,0.0248,NEA,División,Recreación y cultura,,Mixto
2024-03-01,0.0225,NEA,División,Restaurantes y hoteles,,Servicios
2024-03-01,0.0316,NEA,División,Salud,,Servicios
2024-03-01,0.0745,NEA,División,Transporte,,Servicios
2024-03-01,0.0325,NEA,División,Vivienda y servicios básicos,,Servicios
2024-03-01,0.103,NEA,Nivel General,Total,10.3453,
2024-03-01,0.0077,NOA,Análisis,Estacionales,6.3171,
2024-03-01,0.0583,NOA,Análisis,Núcleo,7.9119,
2024-03-01,0.0217,NOA,Análisis,Regulados,15.274,
2024-03-01,0.1751,NOA,División,Alimentos y bebidas,,Bienes
2024-03-01,0.0129,NOA,División,Bebidas alcohólicas y tabaco,,Bienes
2024-03-01,0.0264,NOA,División,Bienes y servicios varios,,Mixto
2024-03-01,0.0136,NOA,División,Comunicación,,Servicios
2024-03-01,0.0095,NOA,División,Educación,,Servicios
2024-03-01,0.0271,NOA,División,Equipamiento del hogar,,Bienes
2024-03-01,0.0317,NOA,División,Prendas de vestir y calzado,,Bienes
2024-03-01,0.0212,NOA,División,Recreación y cultura,,Mixto
2024-03-01,0.0399,NOA,División,Restaurantes y hoteles,,Servicios
2024-03-01,0.0368,NOA,División,Salud,,Servicios
2024-03-01,0.0542999999999999,NOA,División,Transporte,,Servicios
2024-03-01,0.0301,NOA,División,Vivienda y servicios básicos,,Servicios
2024-03-01,0.088,NOA,Nivel General,Total,8.7667,
2024-03-01,0.0137,Pampeana,Análisis,Estacionales,11.3078,
2024-03-01,0.0707,Pampeana,Análisis,Núcleo,9.6641,
2024-03-01,0.0283,Pampeana,Análisis,Regulados,19.3182,
2024-03-01,0.1602,Pampeana,División,Alimentos y bebidas,,Bienes
2024-03-01,0.0173,Pampeana,División,Bebidas alcohólicas y tabaco,,Bienes
2024-03-01,0.0255,Pampeana,División,Bienes y servicios varios,,Mixto
2024-03-01,0.0162,Pampeana,División,Comunicación,,Servicios
2024-03-01,0.0058,Pampeana,División,Educación,,Servicios
2024-03-01,0.0292,Pampeana,División,Equipamiento del hogar,,Bienes
2024-03-01,0.036,Pampeana,División,Prendas de vestir y calzado,,Bienes
2024-03-01,0.032,Pampeana,División,Recreación y cultura,,Mixto
2024-03-01,0.0397,Pampeana,División,Restaurantes y hoteles,,Servicios
